cleaned_text,sentiment_polarity,sentiment_subjectivity,sentiment_label,platform,Theme
too monotonous for,0.0,0.0,neutral,Glassdoor,No Theme
was alright,0.0,0.0,neutral,Glassdoor,No Theme
workplace toxicity and favoritism,0.0,0.0,neutral,Glassdoor,Inconsistent & Unsupportive Management
pros and cons,0.0,0.0,neutral,Glassdoor,No Theme
promote based results not being ‘yes man’,0.0,0.0,neutral,Glassdoor,No Theme
monotonous,0.0,0.0,neutral,Glassdoor,No Theme
fastpaced work with good benefits,0.7,0.6000000000000001,positive,Glassdoor,No Theme
meh,0.0,0.0,neutral,Glassdoor,No Theme
former amazon warehouse employee,0.0,0.0,neutral,Glassdoor,Physical Labor Intensity
good income,0.7,0.6000000000000001,positive,Glassdoor,No Theme
best place work,1.0,0.3,positive,Glassdoor,No Theme
picker pay,0.0,0.0,neutral,Glassdoor,No Theme
super expérience,0.3333333333333333,0.6666666666666666,positive,Glassdoor,No Theme
befristet für monate,0.0,0.0,neutral,Glassdoor,No Theme
fulfillment worker,0.0,0.0,neutral,Glassdoor,No Theme
senior program manager lean methodologies learning amp quality excellence driving operational efficiency,0.0,0.0,neutral,Glassdoor,Inconsistent & Unsupportive Management
good,0.7,0.6000000000000001,positive,Glassdoor,No Theme
high pressure perform difficult maintain safety standards,-0.1699999999999999,0.77,negative,Glassdoor,No Theme
good,0.7,0.6000000000000001,positive,Glassdoor,No Theme
not proper training,0.0,0.1,neutral,Glassdoor,No Theme
great opportunity and awesome benefits,0.9,0.875,positive,Glassdoor,No Theme
partner intern amazon,0.0,0.0,neutral,Glassdoor,No Theme
good not great,0.1499999999999999,0.675,positive,Glassdoor,No Theme
you get out what you put,0.0,0.0,neutral,Glassdoor,No Theme
great working place for starters,0.8,0.75,positive,Glassdoor,No Theme
good salary but difficult targets,0.0999999999999999,0.8,neutral,Glassdoor,No Theme
amazon job,0.0,0.0,neutral,Glassdoor,No Theme
best pay rate,1.0,0.3,positive,Glassdoor,No Theme
hard pass,-0.2916666666666667,0.5416666666666666,negative,Glassdoor,No Theme
its not technical job,0.0,0.1,neutral,Glassdoor,No Theme
sueldo base amazon técnico rme,-0.8,1.0,negative,Glassdoor,No Theme
its good beginner job,0.7,0.6000000000000001,positive,Glassdoor,No Theme
great benefits sign but deteriorate rapidly after first year,0.525,0.5416666666666666,positive,Glassdoor,No Theme
you can deal with it’s good job,0.7,0.6000000000000001,positive,Glassdoor,No Theme
amazing,0.6000000000000001,0.9,positive,Glassdoor,No Theme
good place learn,0.7,0.6000000000000001,positive,Glassdoor,No Theme
amazon hamilton great place work,0.8,0.75,positive,Glassdoor,No Theme
dont get too comfortable,0.4,0.8,positive,Glassdoor,No Theme
hard work,-0.2916666666666667,0.5416666666666666,negative,Glassdoor,No Theme
rating,0.0,0.0,neutral,Glassdoor,No Theme
amazing company,0.6000000000000001,0.9,positive,Glassdoor,No Theme
heavy lifting,-0.2,0.5,negative,Glassdoor,Physical Labor Intensity
fulfillment center warehouse associate review amazon mtn1 wilmington,-0.1,0.1,neutral,Glassdoor,Physical Labor Intensity
was terrible,-1.0,1.0,negative,Glassdoor,Inconsistent & Unsupportive Management
good part time opportunity,0.7,0.6000000000000001,positive,Glassdoor,No Theme
mco1 stow,0.0,0.0,neutral,Glassdoor,No Theme
its okay,0.5,0.5,positive,Glassdoor,No Theme
good place,0.7,0.6000000000000001,positive,Glassdoor,No Theme
unkn,0.0,0.0,neutral,Glassdoor,No Theme
good place work,0.7,0.6000000000000001,positive,Glassdoor,No Theme
wasn’t the greatest,1.0,1.0,positive,Glassdoor,No Theme
not worth for the weather and long shifts,-0.1,0.25,neutral,Glassdoor,Shift Length & Break Policy Strain
decent,0.1666666666666666,0.6666666666666666,positive,Glassdoor,No Theme
nice place work,0.6,1.0,positive,Glassdoor,No Theme
great benefits,0.8,0.75,positive,Glassdoor,No Theme
,0.0,0.0,neutral,Glassdoor,No Theme
physically demanding job,0.0,0.1428571428571428,neutral,Glassdoor,Physical Labor Intensity
decent pay,0.1666666666666666,0.6666666666666666,positive,Glassdoor,No Theme
cold,-0.6,1.0,negative,Glassdoor,No Theme
pay,0.0,0.0,neutral,Glassdoor,No Theme
good place,0.7,0.6000000000000001,positive,Glassdoor,No Theme
boring,-1.0,1.0,negative,Glassdoor,No Theme
amazon,0.0,0.0,neutral,Glassdoor,No Theme
good job and pay,0.7,0.6000000000000001,positive,Glassdoor,No Theme
good money hardwork,0.7,0.6000000000000001,positive,Glassdoor,No Theme
hard work,-0.2916666666666667,0.5416666666666666,negative,Glassdoor,No Theme
not bad,0.3499999999999999,0.6666666666666666,positive,Glassdoor,No Theme
good benefits bad work culture,5.551115123125783e-17,0.6333333333333333,neutral,Glassdoor,No Theme
amazon,0.0,0.0,neutral,Glassdoor,No Theme
amazon review,0.0,0.0,neutral,Glassdoor,No Theme
loved working there,0.7,0.8,positive,Glassdoor,No Theme
the pay good but the work sometimes can bit boring,-0.15,0.8,negative,Glassdoor,No Theme
great place start oit,0.8,0.75,positive,Glassdoor,No Theme
salary amazon,0.0,0.0,neutral,Glassdoor,No Theme
nothign,0.0,0.0,neutral,Glassdoor,No Theme
general,0.05,0.5,neutral,Glassdoor,No Theme
review,0.0,0.0,neutral,Glassdoor,No Theme
lot opportunity grow,0.0,0.0,neutral,Glassdoor,No Theme
process assistant review,0.0,0.0,neutral,Glassdoor,No Theme
seasonal experience was disappointing,-0.6,0.7,negative,Glassdoor,No Theme
company cares about employees,0.0,0.0,neutral,Glassdoor,No Theme
weekly pay and good pto,0.7,0.6000000000000001,positive,Glassdoor,No Theme
benefits package excellent,1.0,1.0,positive,Glassdoor,No Theme
good health and retirement benefits,0.7,0.6000000000000001,positive,Glassdoor,No Theme
motivation from management,0.0,0.0,neutral,Glassdoor,Inconsistent & Unsupportive Management
safe workplace with decent pay,0.3333333333333333,0.5833333333333333,positive,Glassdoor,No Theme
pay and benefits not bad,0.3499999999999999,0.6666666666666666,positive,Glassdoor,No Theme
good pay but demanding work,0.7,0.6000000000000001,positive,Glassdoor,Physical Labor Intensity
benefits are good but work stressful,0.7,0.6000000000000001,positive,Glassdoor,Shift Length & Break Policy Strain
pay decent but training rushed,0.1666666666666666,0.6666666666666666,positive,Glassdoor,No Theme
system flawed and management poor,-0.45,0.55,negative,Glassdoor,Inconsistent & Unsupportive Management
great place work with benefits,0.8,0.75,positive,Glassdoor,No Theme
video want talk amazon—what it’s like work amazon warehouse left whether it’s happens first day personal opinion i’ll honest first day orientation first day go orientation show presentation projector—basically screen stare hour two maybe that’s considered training honestly can’t really learn warehouse work staring screen hours orientation take warehouse i’m bluecollar worker weldermetal fabricator i’ve used tools whole life warehouse work completely different world—and good way videos show animated make job look easier nicer actually walked warehouse felt robotic—like machinebased operation you’re expected function like machine work repetitive you’re feet long hours role tasks shippingreceiving worked overnight shifts position available pay wasn’t good—around 1850hour 2023 fulltime benefits took welding school shippingreceiving you’re working around large conveyor belt stationaisle scan packages place assigned binslocations sometimes you’re person taking items conveyor belt loading carts people behind scan place aisles part stressful you’re slow—even moment—packages pile eventually conveyor belt stop someone come help clear backlog turn back get overwhelming fast training pace wasn’t much real training show basics you’re expected perform quickly system feels designed rush push move faster everything timebased trucks arrive schedule packages must scanned sorted quickly delays create pressure that’s turnover high breaks rules breaks 45 minutes overnight first break took 30minute nap exhausted people rely energy drinks matter fatigue catches back break exactly time told you’re even one minute late deduct time paycheck heard something like 10 minutes deducted bathroom breaks felt controlled often ask permission managers act like can’t stop conveyor belt first time asked someone even asked long i’d gone told take 10 minutes monitored micromanaged one day use bathroom left couldn’t find anyone ask came back manager approached computer said showed exactly long gone seconds even asked needed doctor’s note that’s realized closely everything monitored you’re treated like number felt like military sense—just number system left advice month couldn’t anymore getting sleep worked overnight also welding school 500 pm caught body felt mentally drained time you’re thinking working amazon warehouse i’d recommend reconsidering don’t benefits—lots jobs benefits want build skills warehouse job isn’t best place take use shortterm stepping stone longterm plan don’t like micromanaged watched constantly it’s job pack food vending machine food expensive wear comfortable clothes get comfortable compositetoe boots they’re lighter that’s experience would never work,0.1253544973544974,0.4011534391534393,positive,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management"
it’s 200 morning ever woken middle night thought “damn want work” neither amazon flex work picked 330 shift amazon—let’s go it’s cold honestly don’t even know i’m played tennis around noon chores took shower went sleep schedule got messed opened amazon flex app course 300 shifts want show graveyard shift like arriving delivery station get around 315 we’re garage lot electric vehicles one cool thing amazon warehouses different—each one design it’s 321 threeandahalfhour block scan and… 45 packages kidding i’m sorting 1 45 it’s easier find stop honda civic it’s packed itinerary 41 stops 45 packages we’re delivering hood two places don’t want 300 countryside can’t see anything hood—unfortunately that’s i’m going first stop eight minutes away delivering night stops close together—less five minutes sometimes less three delivering hood stressful there’s parking lots oneway streets people streets i’ve delivered didn’t like i’ve never done 300 i’m skeptical leaving car running deliver—anyone could jump key fob pocket still feels risky one building can’t get mailroom even code leave package door call half success half fail hope it’s fine places easier like amazon lockers overnight one benefit streets empty—during day streets packed still careful especially there’s police around finishing shift time sky starts turning brighter it’s almost 600 sun coming we’re almost done—only packages left that’s finished graveyard shift it’s 630 completed 35hour block 30 minutes spare paid 77 around 40 stops would maybe—maybe summertime wasn’t bad today since downtown nicer part area one package couldn’t deliver couldn’t access building returned amazon hub i’m going spend minutes watching sunrise,-0.0578431372549019,0.4852941176470588,neutral,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity"
hi everyone saw title you’re coming along work 10hour shift amazon it’s 838 pm right filming took twohour nap it’s okay rest—your body needs feel prepared motivated work amazon fulfillment center role sort boxes using scanner areas don’t scan—you take boxes lane place larger box different positions throughout warehouse noncon shoe sort “under mezz” container loading container building tasks similar exactly feel bored move another position i’ve seen people say amazon worst job life overwork think every warehouse different depending management position warehouse it’s actually pretty chill one reason like job really don’t want work sometimes offer vto voluntary time example don’t want work 430 shift check vto accept take day don’t get paid day want extra cash pick shifts sometimes there’s 3 premium shift—so normally make 18hour earn 21hour regular schedule 430 300 pm today i’m packing lunch getting ready work starting shift wake around 300 get ready quickly grab lunch snacks head work there’s locker room employees first come first served put stuff away start day amazon different roles today assigned “under mezz” means taking smaller boxes putting bigger box called “shuttle” that’s basically shift take amazon packages load shuttle also wrap shuttle smaller boxes don’t fall out—if boxes fall takes lot patience fix breaks pacing take quick moments stretch drink water break room big vending machines 15minute break sometimes go car quiet it’s noisy inside later there’s 30minute lunch break another 15minute break later shift you’re confused roles work there’s learning ambassador trainer trains three days week depending role overall think amazon decent place work especially parttime extra cash depends person 10hour shift isn’t easy 3 premium pay made worth,0.0568211068211068,0.4381793881793882,neutral,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management"
today officially first day working amazon warehouse i’ve month month half i’ll say month keep simple want share know first day orientation first day everyone gathers front building direct classroom sit shift give presentation everything facility guidelines rules you’re allowed film inside facility—if you’re caught recording lose job give things orientation like clear bag carry items every time leave facility go security checkpoint metal detectors make sure you’re stealing anything bringing prohibited items orientation second day actually go floor department shifts scheduling workers 10hour shifts amazon also flex schedule create schedule different flex options example one requires hours week another requires around 30 hoursweek keep job flex choose morning midday night shifts right i’m “donut schedule” monday tuesday wednesday thursday friday weekends department work ship dock work ship dock packages drop carts either move carts onto floor loaded onto trucks move carts floor onto trucks work simple involves lot walking tracked walked around 30000 steps day kills feet invest good insoles like dr scholl’s comfortable shoes ship dock need steeltoe safety shoes amazon gives credit get free use pay getting paid pay varies state virginia make 19hour 1860hour get paid every wednesday first start may wait two weeks first paycheck people don’t work one week quit immediately amazon isn’t weak work isn’t always bad hours long handle long shifts mentally you’ll okay vto voluntary time every often offer vto lets drop shift consequences—you don’t get paid day see vto want take quickly someone else grab really need money don’t take want “get jail” card vto great offer vto sometimes many workers building enough work send people home balance labor costs pto vacation regular workers earn pto earn rate 55 minutes per 10hour shift use one hour pto that’s basically whole day work you’re sacrificing flex workers may get pto choose schedule vacation time usually request two weeks advance may need pto cover shiftswap shiftswap someone pick shift—if nobody picks might stuck usually someone picks quickly lot people facility overnight work fatigue hardest part hours working overnight isn’t hard start time—it’s getting 430 sometimes 500 overtime get home everyone asleep really enjoy days around 6–7 hour mark you’re ready leave leaving early costs lot pto breaks get two 30minute breaks first around 1000 mark 10 10 pm second around 200 mark 2 2 pm depending shift departments strict break times others flexible ask manager thirty minutes sounds like lot actually try go somewhere aren’t many food places close facility leave get food come back easily go break time recommend bringing food buying break room occasionally—buying time adds managers rules managers vary department building mine chill strict rules like earbuds phone use managers might relaxed say “just don’t around strict managers make sure work gets done” people say managers strict bathroom breaks it’s like depends department building overall recommendation would recommend amazon depends pay good work isn’t always bad long 10hour shifts tough mentally wouldn’t longterm build career you’re committed moving also may work certain holidays like thanksgiving christmas new year’s,0.1197063224841002,0.4184692879137323,positive,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management"
i’m quitting i’m done fellow courier drivers—how year two years five years job exhausting body hurts ever get easier workload doesn’t change keep seeing videos people quitting amazon especially drivers also warehouse workers i’m saying everyone quitting lot people leave realize job isn’t expected people hear “20 hour” get excited get find it’s laborintensive high expectations productivity priority one person clips said quit first day work intense felt job far demanding expected general physically demanding job can’t go expecting easy money you’re using hands legs body—moving boxes hours you’ll sore work whether it’s worth depends life need money support family make work it’s side job don’t need might walk away another worker described first day delivering gave truck packed full packages expected finish route 45–5 hours said stop 100 packages went one building place package individually locker even told taking long mentioned delivering downtown chicago traffic crowds slow everything said taking 30minute break could make late route also complained strict drivingroute violations—saying small mistakes like missing stop sign timing yellow light could lead suspension driver also raised safety concern dog bites said bitten twice described drivers bitten well urged customers secure dogs drivers delivering overall message working conditions intense—high physical demands tight time expectations safety risks—leading drivers workers quit quickly,0.0441031746031746,0.4487142857142857,neutral,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management"
imagine giant amazon warehouse shelves taller person conveyors buzzing boxes moving nonstop workers vests moving everywhere middle that—me—one thousands employees small cog massive machine first got hired sounded great stable job solid pay health insurance advertised around 18 22 hour overtime could get close 30 hour that’s roughly 3500 4000 month 3000 takehome taxes someone without college degree sounded like dream reality different day one operations tracking day one go security—metal detectors hand phone warehouse feels like small city job packing boxes tape labels conveyor never stops can’t slow either quota 120 150 packages per hour fall behind system marks “time task” many marks you’re meeting manager could get fired shifts physical load breaks shifts 10 12 hours—four days three days sounds okay 12 hours feet days feel like recovery days sometimes call overtime pay jumps around 27 32hour shifts legs feel like ran marathon physical demand heavy walk 15 20 kilometers per shift—always moving scanner tracks every scan every second even sitting briefly becomes problem breaks short two 15minute breaks one 30minute lunch sometimes takes five minutes walk break room “15minute break” feel like seven minutes pay tradeoffs pay good started 2150hour night shifts paid extra dollar overtime timeandahalf added around 3800 4000 month taxes 3000 net sometimes small bonuses discounts compared places like walmart target amazon paid better working conditions burnout downsides real constant soreness legs back constant monitoring—cameras scanners sensors tracking movements sometimes felt like robots would easier humans summer it’s hot winter it’s cold people break shift i’ve seen coworkers cry walk never return upsides career path upsides pay time extra hours mean serious money get benefits like health insurance stock chances move up—team lead forklift operator roles pay around 25 28hour handle there’s path forward bottom line amazon isn’t heaven isn’t hell it’s conveyor belt want money grind endure don’t leave lasted year it’s good need save stay afloat longterm burn fast customers see fast delivery don’t see people spent 12 hours running across warehouse make happen,0.0395833333333333,0.4273652882205514,neutral,YouTube,"Shift Length & Break Policy Strain, Physical Labor Intensity, Inconsistent & Unsupportive Management"
what’s youtube i’m going show bit hostler driver amazon transportation first inspect trailer inspect come back grab “tommy” phone document issues issue enter what’s wrong system put gloves part ppe parking policy methods two ways we’re allowed park trailer dock door parking slip amazon policy says we’re allowed “alley dock” either sturn ujturn sturn pull side parking slip dock door go two slips two dock doors crank wheel way right way left end angle back everyone technique benchmark 10 minutes five sometimes stopped rushing faster go end people’s work got tired trailer seal procedure get trailer cut seal open doors park trailer don’t throw seal away leave ground—you put bucket rfid bucket open open passengerside door first driverside close close driverside first passengerside working conditions heat equipment gets really hot ac hostler vehicles isn’t great small fan top doesn’t work well it’s hot i’m going fast anymore—i used fiveminute moves heat sweat lot slow try get inside there’s ac hydration matters pay notes i’m california starting pay around mid20s per hour pay increase every six months california expensive matters,0.0517006802721088,0.4659863945578231,neutral,YouTube,Shift Length & Break Policy Strain
